state,year,visitor_num_thousands,percentage_total
Johor,2022,12376,7.21
Kedah,2022,11186,6.52
Kelantan,2022,6627,3.86
Malacca,2022,11757,6.85
Negeri Sembilan,2022,11490,6.7
Pahang,2022,13189,7.69
Penang,2022,10003,5.83
Perak,2022,14567,8.49
Perlis,2022,1669,0.97
Selangor,2022,21990,12.81
Terengganu,2022,10233,5.96
Sabah,2022,12589,7.34
Sarawak,2022,15465,9.01
Kuala Lumpur,2022,16913,9.86
Labuan,2022,244,0.14
Putrajaya,2022,1306,0.76
